t,x,y,s,d,yaw, speed
140,962.39,1132.78,177.387,5.24931,8.40735,27.9555
141,963.385,1132.92,178.392,5.21338,8.20062,28.1625
142,964.138,1133.03,179.153,5.18698,8.13697,28.3787
143,964.898,1133.14,179.919,5.16123,8.07524,28.5949
144,965.663,1133.25,180.627,5.13991,8.01633,28.8045
145,966.434,1133.36,180.868,5.20618,7.94125,29.0208
146,967.472,1133.5,181.912,5.29717,7.97075,29.4535
147,968.256,1133.61,182.701,5.3665,7.91501,29.6699
148,969.047,1133.72,183.496,5.43502,8.06945,29.881
149,969.84,1133.84,184.295,5.50148,8.26349,29.8983
150,970.907,1133.99,185.37,5.58827,8.38829,30.313
151,971.713,1134.11,186.183,5.64961,8.857,30.5369
152,972.524,1134.24,187.002,5.70735,9.0141,30.7561
153,973.341,1134.37,187.826,5.76326,9.15754,30.9621
154,974.162,1134.5,188.657,5.81737,9.29906,31.1637
155,974.989,1134.64,189.493,5.86789,9.6499,31.3949
156,975.82,1134.79,190.336,5.91356,9.98466,31.6205
157,976.935,1134.99,191.468,5.96601,10.5381,31.8424
158,977.776,1135.15,192.323,5.99928,10.8741,32.0641
159,978.622,1135.31,193.184,6.0277,11.2078,32.2893
160,979.472,1135.48,194.052,6.04943,11.7153,32.5149
161,980.328,1135.66,194.926,6.06533,12.144,32.7364
162,981.186,1135.85,195.804,6.07507,12.5008,32.7589
163,982.049,1136.05,196.689,6.07908,12.8168,32.9731
164,983.207,1136.31,197.878,6.07713,13.2753,33.4125
165,984.081,1136.52,198.776,6.06992,13.567,33.6421
166,984.958,1136.74,199.678,6.05748,13.9174,33.6372
167,985.839,1136.96,200.587,6.03916,14.2048,33.8623
168,986.725,1137.18,201.501,6.01617,14.4995,34.0815
169,987.615,1137.42,202.421,5.98734,14.98,34.3397
170,988.81,1137.74,203.658,5.93886,15.3915,34.7875
171,989.711,1137.99,204.592,5.89464,15.8545,35.0103
172,990.615,1138.26,205.532,5.84266,16.322,35.2421
173,991.522,1138.52,206.476,5.78438,16.6492,35.258
174,992.433,1138.8,207.425,5.72017,16.9125,35.4646
175,993.349,1139.08,208.38,5.65114,17.1783,35.6957
176,994.577,1139.46,209.664,5.5517,17.5724,36.1622
177,995.503,1139.76,210.632,5.46938,17.9981,36.4048
178,996.433,1140.06,211.607,5.38114,18.2561,36.6151
179,997.367,1140.37,211.669,5.37033,18.5109,36.85
180,998.303,1140.69,212.655,5.44149,18.8154,36.8549
181,999.559,1141.12,213.98,5.52925,19.1886,37.3013
182,1000.51,1141.45,214.981,5.59044,19.4187,37.5601
183,1001.46,1141.79,215.987,5.64737,19.6668,37.7468
184,1002.41,1142.13,217.002,5.7011,19.9003,38.0371
185,1003.69,1142.6,218.363,5.766,20.2,38.2534
186,1004.65,1142.95,219.388,5.81142,20.3433,38.3936
187,1005.62,1143.32,220.421,5.85352,20.5797,38.6904
188,1006.92,1143.8,221.807,5.90601,20.7477,38.8647
189,1007.9,1144.18,222.854,5.94186,20.9395,39.1578
190,1008.88,1144.55,223.907,5.97514,21.1151,39.2988
191,1009.87,1144.94,224.966,6.00433,21.3233,39.5862
192,1011.2,1145.45,226.386,6.03844,21.4344,39.8818
193,1012.19,1145.85,227.457,6.06291,21.5744,40.0234
194,1013.53,1146.38,228.894,6.09038,21.7456,40.2117
195,1014.54,1146.78,229.979,6.10886,21.9251,40.5007
196,1015.55,1147.19,231.071,6.12477,21.9678,40.7505
197,1016.9,1147.73,232.532,6.14485,22.0428,40.8926
198,1017.93,1148.15,233.636,6.15901,22.0662,41.1475
199,1019.3,1148.71,235.118,6.17722,22.1307,41.6471
200,1020.34,1149.12,236.234,6.19113,22.1224,41.6471
201,1021.37,1149.55,237.355,6.20417,22.2047,41.7895
202,1022.77,1150.12,238.861,6.22036,22.1774,42.2416
203,1023.82,1150.54,239.995,6.23213,22.1199,42.2416
204,1025.23,1151.12,241.517,6.24953,22.1547,42.7413
205,1026.29,1151.55,242.665,6.2639,22.0499,42.9489
206,1027.72,1152.12,244.267,6.28057,22.0355,43.1923
207,1028.8,1152.56,245.427,6.28417,22.0577,43.4536
208,1030.24,1153.14,246.982,6.28859,22.0797,43.6636
209,1031.32,1153.59,248.154,6.28949,22.2027,43.8521
210,1032.78,1154.18,249.726,6.28954,22.2539,43.9945
211,1033.88,1154.63,250.912,6.28892,22.3128,44.2381
212,1034.98,1155.08,252.102,6.28766,22.3062,44.4943
213,1036.45,1155.69,253.698,6.28482,22.4175,44.7378
214,1037.57,1156.14,254.9,6.28074,22.4714,44.9866
215,1038.68,1156.61,256.107,6.27359,22.5842,45.1836
216,1040.17,1157.23,257.727,6.26007,22.8022,45.3739
217,1041.3,1157.71,258.947,6.24607,22.9723,45.66
218,1042.43,1158.18,260.172,6.23003,22.9882,45.7979
219,1043.94,1158.83,261.815,6.20619,23.1667,46.0898
220,1045.08,1159.31,263.054,6.18594,23.2158,46.3462
221,1046.6,1159.97,264.711,6.15518,23.3881,46.5382
222,1047.75,1160.47,265.96,6.12727,23.581,46.7254
223,1049.28,1161.14,267.634,6.08692,23.601,46.9818
224,1050.82,1161.81,269.316,6.04265,23.8519,47.1695
225,1051.98,1162.33,270.584,6.00483,23.9573,47.3633
226,1053.53,1163.02,272.283,5.95213,24.0651,47.6698
227,1055.1,1163.71,273.991,5.89787,24.0746,47.8638
228,1056.27,1164.24,275.278,5.85506,24.1406,48.008
229,1057.84,1164.95,276.952,5.80717,24.1008,48.27
230,1059.43,1165.65,278.685,5.76877,23.8778,48.4253
231,1061.02,1166.35,280.427,5.73869,23.5398,48.9323
232,1062.23,1166.87,281.74,5.72202,23.3763,49.1018
233,1063.84,1167.56,283.498,5.70789,22.9817,49.3172
234,1065.47,1168.25,285.26,5.70468,22.6569,49.2271
235,1066.69,1168.75,286.583,5.71149,22.2831,49.3036
236,1068.33,1169.41,288.345,5.73293,21.7537,49.2539
237,1069.97,1170.06,290.108,5.76868,21.3141,49.3591
238,1071.2,1170.53,291.428,5.80488,21.0284,49.2483
239,1072.85,1171.16,293.19,5.86534,20.5349,49.3489
240,1074.5,1171.77,294.951,5.93936,20.1432,49.2172
241,1075.74,1172.22,296.272,6.00405,19.7666,49.3234
242,1077.4,1172.81,298.033,6.09964,19.4175,49.3484
243,1079.07,1173.38,299.791,6.21048,18.8282,49.1917
244,1080.32,1173.81,301.109,6.30418,18.4991,49.1982
245,1082,1174.36,303.839,6.31992,17.878,49.2686
246,1083.67,1174.89,305.596,6.20773,17.3392,49.2313
247,1084.94,1175.28,306.914,6.13684,16.779,49.2157
248,1086.62,1175.78,308.674,6.06024,16.1684,49.2694
249,1087.89,1176.14,309.993,6.01649,15.6344,49.2638
250,1089.59,1176.6,311.754,5.9763,14.9455,49.2174
251,1091.3,1177.05,313.517,5.95618,14.3977,49.3177
252,1092.58,1177.37,314.838,5.95098,14.0048,49.2369
253,1094.3,1177.79,316.602,5.96097,13.325,49.3296
254,1095.58,1178.09,317.924,5.98173,12.7858,49.3308
255,1097.31,1178.47,319.688,6.0266,12.3166,49.3423
256,1098.6,1178.74,321.01,6.06918,11.9781,49.4031
257,1100.33,1179.1,322.774,6.13788,11.4527,49.3111
258,1101.62,1179.36,324.096,6.1998,11.059,49.3539
259,1103.36,1179.69,326.58,6.28036,10.5209,49.3739
260,1104.66,1179.93,327.902,6.21199,10.1272,49.3149
261,1106.4,1180.23,329.667,6.13561,9.59775,49.3583
262,1107.71,1180.45,330.99,6.0876,9.26774,49.3222
263,1109.45,1180.73,332.756,6.03862,8.80143,49.4664
264,1110.76,1180.93,334.081,6.00903,8.54157,49.4313
265,1112.51,1181.18,335.846,5.98005,8.21853,49.3854
266,1113.82,1181.37,337.17,5.96354,8.00556,49.3526
267,1115.13,1181.55,338.496,5.95312,7.75429,49.3359
268,1116.45,1181.73,339.821,5.94971,7.42377,49.4008
269,1118.2,1181.95,341.588,5.95126,7.29797,49.3868
270,1119.52,1182.12,342.914,5.95913,6.8968,49.4531
271,1120.83,1182.28,344.239,5.97088,6.76994,49.4667
272,1122.15,1182.43,345.564,5.9877,6.62875,49.4258
273,1123.46,1182.58,346.889,6.00853,6.37772,49.4011
274,1124.78,1182.72,348.215,6.03445,6.17391,49.4977
275,1126.1,1182.86,349.54,6.06534,5.98487,49.4745
276,1127.42,1183,350.865,6.09925,5.85008,49.3532
277,1128.74,1183.14,352.517,6.08353,5.79489,49.4769
278,1130.06,1183.27,353.842,6.05176,5.66083,49.4645
279,1131.38,1183.4,355.167,6.02292,5.58443,49.4402
280,1133.13,1183.57,356.935,5.98752,5.39446,49.4433
281,1134.45,1183.69,358.26,5.96484,5.33136,49.4194
282,1135.34,1183.77,359.144,5.95061,5.20512,49.4094
283,1137.1,1183.93,360.911,5.92629,5.07095,49.3984
284,1138.42,1184.04,362.236,5.9116,4.93916,49.5113
285,1139.74,1184.15,363.562,5.89983,4.74712,49.3933
286,1141.06,1184.26,364.887,5.89317,4.53886,49.4832
287,1142.38,1184.37,366.214,5.8895,4.4175,49.3658
288,1143.7,1184.47,367.539,5.88876,4.29168,49.3586
289,1145.03,1184.57,368.866,5.89126,4.1652,49.4584
